,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
261524,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium_liflandii
304895,Bacteria,,Actinobacteria,Actinobacteria,Catenulisporales,Catenulisporaceae,Catenulispora,Catenulispora_acidiphila
321332,Bacteria,,Cyanobacteria,,Chroococcales,,Synechococcus,Synechococcus_sp._JA-2-3B'a(2-13)
380021,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_protegens
397260,Bacteria,,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas_sanxanigenens
470934,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,Pantoea_vagans
531813,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pelagibacterium,Pelagibacterium_halotolerans
687342,Viruses,,,,,Anelloviridae,Alphatorquevirus,Torque_teno_virus_3
887061,Bacteria,,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylovorus,Methylovorus_sp._MP688
1173025,Bacteria,,Cyanobacteria,,Oscillatoriales,,Geitlerinema,Geitlerinema_sp._PCC_7407
1381597,Bacteria,,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas_sp._ERG5
1420916,Bacteria,,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,Marinobacter_similis
1420917,Bacteria,,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,Marinobacter_salarius
1535248,Viruses,,,,Nidovirales,,,Ball_python_nidovirus
8469,Eukaryota,Metazoa,Chordata,,Testudines,Cheloniidae,Chelonia,Chelonia_mydas
9612,Eukaryota,Metazoa,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis_lupus
13616,Eukaryota,Metazoa,Chordata,Mammalia,Didelphimorphia,Didelphidae,Monodelphis,Monodelphis_domestica
43669,Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,Brachybacterium_faecium
68280,Bacteria,,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces_violaceusniger
83554,Bacteria,,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia_psittaci
213554,Bacteria,,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas_campaniensis
687354,Viruses,,,,,Anelloviridae,Alphatorquevirus,Torque_teno_virus_15
1176150,Viruses,,,,,Papillomaviridae,Upsilonpapillomavirus,Upsilonpapillomavirus_1
