,AR4040,AR4041,AR4042,AR4043,AR4044,AR4045,AR4046,AR4047,AR4048,AR4049,AR4120,AR4121,AR4122,AR4123,AR4124,AR4125,AR4126,AR4127,AR4128,AR4129,AR4151,AR4152,AR4153,AR4154,AR4155,AR4156,AR4157,AR4158,AR4159,AR4160,AR4161,AR4162,AR4163,AR4164,MKAN003341,MKAN003342,MKAN003343,MKAN003344,MKAN003345,MKAN003346,MKAN003347,MKAN003348,MKAN003432,MKAN003433,MKAN003434,MKAN003435,MKAN003436,MKAN003437,MKAN003438,MKAN003439,MKAN003440,MKAN003441,MKAN003479,MKAN003480,MKAN003481,MKAN003482,MKAN003483,MKAN003484,MKAN003485,MKAN003486,MKAN003487,MKAN003689,MKAN003690,MKAN003691,MKAN003692,MKAN003694,MKAN003695,MKAN003696,MKAN003697,MKAN003754,MKAN003755,MKAN003756,MKAN003757,MKAN003758,MKAN003759,MKAN003760,MKAN003761,MKAN003762,MKAN003789,MKAN003790,MKAN003791,MKAN003792,MKAN003793,MKAN003794,MKAN003795,MKAN003796,MKAN003963
1352,45,0,0,74,0,0,0,283,0,0,35,9,6,62,0,0,0,0,0,41,0,4,0,0,59,0,0,12,0,333,0,5,42,93,13,0,0,69,221,43,0,54,0,11,0,0,4,8,0,12,0,0,0,0,0,5,13,0,62,94,0,46,33,63,204,0,234,0,0,2,0,22,0,213,214,49,2,132,77,251,148,189,59,76,11,118,20
1747,22,13,12,561,16,2,4,76,2,0,8,0,0,0,4,12,0,4,0,0,0,0,0,0,4,0,6,2,10,419,2,2,4,10,65,80,6,107,2639,12,182,30,72,842,8,4,42,4,28,8,6,0,0,18,6,4,24,0,412,730,146,8,38,102,670,4,816,38,6,36,2,35,24,976,670,453,167,398,7,99,109,74,14,6,2,675,12
1760,27,3,0,119,6,0,2,31,0,0,0,0,8,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,25,4,3,15,0,12,291,2,16,0,0,147,0,0,0,0,2,0,0,0,0,2,0,0,0,0,43,70,0,0,5,8,201,0,106,0,0,12,0,0,4,30,89,83,55,149,2,81,30,233,42,0,0,55,0
1772,3,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,11,0,0,5,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,4,0,27,0,0,8,0,0,4,4,0,0,0,36,0,60,30,9,0,0,2,0,0
1773,8,0,0,0,0,0,0,0,0,0,0,2,0,3,0,53,1,1,7,0,0,0,0,6,0,0,0,19,0,1,2,447,1,0,1,10,12,9,41,5,4,0,66,70,22,4,6,11,6,6,1,0,0,14,7,0,0,7,44,4,10,4,37,0,184,0,19,0,37,13,23,0,0,2,1,7,2,125,48,85,116,2,34,0,39,216,1
1804,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
1912,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,11,8,0,44,0,2,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,8,0,2,0,0,2,0,0,0,3,0,0,0
2057,8,0,0,16,0,0,0,73,0,0,0,16,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,29,10,0,20,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,11,0,0,11,94,0,40,14,74,0,0,0,0,0,34,14,0,0
2097,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2099,4,6,5,0,7,5,4,0,18,15,0,22,0,6,0,23,129,0,0,4,33,37,25,60,104,33,67,50,76,4,6,44,32,18,4,7,2,0,0,10,9,26,12,27,0,2,19,16,22,45,72,31,33,11,26,10,15,19,13,13,93,32,24,19,27,2,2,49,73,5,5,46,66,6,67,8,15,50,29,206,10,0,19,37,9,0,42
2208,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,16,0,6,0,4,6,8,0,0,0,14,0,0,0,6,15,4,0,0,2,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
2371,5,0,0,0,0,8,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,10,2,4,3,0,0,0,0,0,4,0,4,0,13,0,0,0,6,0,0,5,10,0,0,0,0,0,16,8,0,0,0,0,0,9,0,0,0,3,13,0,12,0,4,4,0,7,0,0,0,0,0,0,0,2,0,12
2746,13,20,0,0,0,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,29,188,0,34,2,2,0,0,0,13,51,0,0,55,0,0,16,0,0,0,0,0,0,0,0,2,0,0,0,0,66,59,0,0,0,0,0,0,141,0,0,0,8,0,0,201,76,0,0,38,0,134,98,175,66,0,2,88,0
2751,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,9,0,32,0,0,0,0,0,0,36,0,0,0,0,0,0,13,0,2,2,2,0,0
4097,21,0,0,26,0,0,0,16,0,0,0,17,0,15,0,0,0,0,0,0,0,0,12,0,23,0,47,0,0,0,0,0,8,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,5,0,0,0,12,0,30,0,15,0,0,13,10,9,0,0,4,0,9
4565,8,0,10,13,0,0,0,21,0,0,0,0,0,0,0,6,0,58,0,0,4,0,0,0,44,0,4,17,10,279,0,0,10,0,0,0,0,0,100,0,0,0,0,55,0,0,2,0,0,0,0,0,0,2,2,8,0,2,4,0,0,0,0,26,0,0,0,0,0,38,0,0,18,46,88,34,0,20,0,9,2,48,65,0,18,0,0
